"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Todos Endpoint","1","0","Verify amount of returned items is expected","0"
"0","","0","Posts Endpoint","1","0","Verify status code returned is expected","0"
"0","","0","Users Endpoint","2","0","Verify specific user is returned in the users response","0"
"0","","0","Posts Endpoint","1","0","Verify amount of returned items is expected","0"
"0","","0","Users Endpoint","2","0","Verify there is a user with a given zipcode","0"
"0","","0","Users Endpoint","1","0","Verify amount of returned items is expected","0"
"0","","0","Todos Endpoint","1","0","Verify response schema is correct","0"
"0","","0","Todos Endpoint","1","0","Verify status code returned is expected","0"
"0","","0","Posts Endpoint","1","0","Verify response schema is correct","0"
"0","","0","Users Endpoint","1","0","Verify response schema is correct","0"
"0","","0","Users Endpoint","1","0","Verify status code returned is expected","0"
