"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","70","Verify amount of returned items is expected","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Todos Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","1207","Verify status code returned is expected","","Mon Mar 30 04:27:28 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Posts Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","82","Verify specific user is returned in the users response","","Mon Mar 30 04:27:31 UTC 2026","passed","Mon Mar 30 04:27:31 UTC 2026","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","93","Verify amount of returned items is expected","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Posts Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","61","Verify there is a user with a given zipcode","","Mon Mar 30 04:27:31 UTC 2026","passed","Mon Mar 30 04:27:31 UTC 2026","","Users Endpoint","Verify there is a user with a given zipcode",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","58","Verify amount of returned items is expected","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Users Endpoint","Verify amount of returned items is expected",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","97","Verify response schema is correct","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Todos Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Todos endpoint is working as expected","85","Verify status code returned is expected","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Todos Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","428","Verify specific user is returned in the users response","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:31 UTC 2026","","Users Endpoint","Verify specific user is returned in the users response",""
"  As a developer
  I want to be sure
  That the Posts endpoint is working as expected","104","Verify response schema is correct","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Posts Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","69","Verify response schema is correct","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Users Endpoint","Verify response schema is correct",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","58","Verify status code returned is expected","","Mon Mar 30 04:27:30 UTC 2026","passed","Mon Mar 30 04:27:30 UTC 2026","","Users Endpoint","Verify status code returned is expected",""
"  As a developer
  I want to be sure
  That the Users Endpoint is working as expected","66","Verify there is a user with a given zipcode","","Mon Mar 30 04:27:31 UTC 2026","passed","Mon Mar 30 04:27:31 UTC 2026","","Users Endpoint","Verify there is a user with a given zipcode",""
