"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:57 GMT 2023","507","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"failed","Mon May 01 02:22:55 GMT 2023","Mon May 01 02:22:55 GMT 2023","279","","Posts Endpoint","","Example when response schema is incorrect","","Example when response schema is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon May 01 02:22:53 GMT 2023","Mon May 01 02:22:55 GMT 2023","1144","","Posts Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon May 01 02:22:57 GMT 2023","Mon May 01 02:22:57 GMT 2023","138","","Users Endpoint","","Verify specific user is returned in the users response","","Verify specific user is returned in the users response","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon May 01 02:22:55 GMT 2023","Mon May 01 02:22:55 GMT 2023","166","","Posts Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"failed","Mon May 01 02:22:55 GMT 2023","Mon May 01 02:22:55 GMT 2023","152","","Posts Endpoint","","Example when response code is incorrect","","Example when response code is incorrect","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","92","","Users Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon May 01 02:22:57 GMT 2023","Mon May 01 02:22:57 GMT 2023","116","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","236","","Todos Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"failed","Mon May 01 02:22:57 GMT 2023","Mon May 01 02:22:57 GMT 2023","105","","Users Endpoint","","Verify there is a user with a given zipcode","","Verify there is a user with a given zipcode","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","69","","Users Endpoint","","Verify status code returned is expected","","Verify status code returned is expected","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
"passed","Mon May 01 02:22:55 GMT 2023","Mon May 01 02:22:55 GMT 2023","99","","Posts Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Posts endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","136","","Todos Endpoint","","Verify amount of returned items is expected","","Verify amount of returned items is expected","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","139","","Todos Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Todos endpoint is working as expected"
"passed","Mon May 01 02:22:56 GMT 2023","Mon May 01 02:22:56 GMT 2023","92","","Users Endpoint","","Verify response schema is correct","","Verify response schema is correct","  As a developer
  I want to be sure
  That the Users Endpoint is working as expected"
